Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0089978	1333	205	278	1917	389	573	762	281	366	1169	518	626	620.55	470	771	1.681	0.75	3.764	0.000167508770843298	0.00345036387791408	0.0159	0.1276	0.0264	0.0264	TRUE	NA
FBtr0082167	357	146	175	466	297	351	204	200	231	284	396	383	283.04	212	354	1.649	0.722	3.757	0.000171908015721582	0.0035232085798117	0.0073	0.2686	0.0227	0.0227	TRUE	NA
FBtr0331308	13	0	0	130	13	26	7	0	0	79	17	28	22.08	2	41	30.955	4.952	3.754	0.000173805781790315	0.00355485863084275	0.2246	3.333	0.7324	0.7324	TRUE	NA
FBtr0090014	966	884	1099	4190	1800	2250	552	1212	1448	2556	2398	2457	1770.7	1071	2470	2.477	1.309	3.742	0.000182270727571348	0.00371926194222285	0.0966	0.0508	0.0874	0.0874	TRUE	NA
FBtr0333608	0	0	0	17	27	29	0	0	0	10	36	32	13	0	26	122.796	6.94	3.74	0.000183901903223651	0.00374815738663782	0	5.6525	1.4599	1.4599	TRUE	NA
FBtr0084985	833	435	479	959	609	745	476	596	631	585	811	814	652.34	568	737	1.289	0.366	3.737	0.000186254957244021	0.0037872565751859	0	0.1219	0.0053	0.0053	TRUE	NA
FBtr0080330	1129	509	501	1281	668	819	646	698	660	781	890	894	761.61	668	855	1.275	0.351	3.717	0.000201352347682841	0.00406107177166803	0	0.1057	0.0051	0.0051	TRUE	NA
FBtr0080956	694	501	514	1088	664	835	397	687	677	664	885	912	703.57	587	820	1.429	0.515	3.697	0.000217899755127883	0.00437456351711808	0	0.1137	0.0125	0.0125	TRUE	NA
FBtr0301824	12	4	0	108	34	103	7	5	0	66	45	112	39.34	4	74	19.163	4.26	3.691	0.000222940726682206	0.00445013184783977	0.5736	1.8747	0.8123	0.8123	TRUE	NA
FBtr0304005	370	159	91	816	371	329	212	218	120	498	494	359	316.82	183	450	2.465	1.302	3.69	0.000224320500086675	0.00447255038273502	0.0693	0.241	0.0855	0.0855	TRUE	NA
FBtr0346946	253	32	31	516	127	90	145	44	41	315	169	98	135.28	77	194	2.749	1.459	3.687	0.000227083009172774	0.00451729282858992	0.0598	0.5517	0.0994	0.0994	TRUE	NA
FBtr0086674	1812	765	938	2566	1105	1392	1036	1049	1236	1565	1472	1520	1313.18	1107	1519	1.375	0.46	3.678	0.000235179734889308	0.00466770166307641	0.0055	0.0653	0.0105	0.0105	TRUE	NA
FBtr0070441	1466	788	837	1645	964	1214	838	1080	1103	1004	1284	1326	1105.92	1007	1205	1.196	0.258	3.677	0.000235574151811503	0.00467021065923464	0	0.0757	0.0026	0.0026	TRUE	NA
FBtr0086506	11	24	10	272	105	76	6	33	13	166	140	83	73.53	17	130	8.261	3.046	3.676	0.000237339095847885	0.00469985350482414	0.3926	1.0072	0.4595	0.4595	TRUE	NA
